Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
1,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,42
2,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,101
3,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,2025
4,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,6789
5,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,13579
6,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,24680
7,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,73205
8,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,10939
9,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,84752
10,BR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,62700
11,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,42
12,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,101
13,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,2025
14,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,6789
15,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,13579
16,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,24680
17,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,73205
18,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,10939
19,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,84752
20,BR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,62700
21,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,42
22,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,101
23,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,2025
24,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,6789
25,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,13579
26,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,24680
27,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,73205
28,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,10939
29,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,84752
30,BR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,62700
31,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,42
32,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,101
33,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,2025
34,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,6789
35,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,13579
36,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,24680
37,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,73205
38,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,10939
39,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,84752
40,BR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,62700
41,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,42
42,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,101
43,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,2025
44,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,6789
45,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,13579
46,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,24680
47,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,73205
48,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,10939
49,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,84752
50,BR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,62700
51,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,42
52,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,101
53,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,2025
54,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,6789
55,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,13579
56,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,24680
57,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,73205
58,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,10939
59,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,84752
60,BR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,62700
61,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,42
62,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,101
63,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,2025
64,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,6789
65,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,13579
66,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,24680
67,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,73205
68,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,10939
69,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,84752
70,BR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,62700
71,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,42
72,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,101
73,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,2025
74,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,6789
75,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,13579
76,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,24680
77,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,73205
78,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,10939
79,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,84752
80,TR,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,62700
81,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,42
82,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,101
83,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,2025
84,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,6789
85,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,13579
86,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,24680
87,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,73205
88,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,10939
89,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,84752
90,TR,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,62700
91,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,42
92,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,101
93,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,2025
94,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,6789
95,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,13579
96,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,24680
97,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,73205
98,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,10939
99,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,84752
100,TR,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,62700
101,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,42
102,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,101
103,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,2025
104,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,6789
105,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,13579
106,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,24680
107,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,73205
108,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,10939
109,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,84752
110,TR,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,62700
111,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,42
112,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,101
113,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,2025
114,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,6789
115,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,13579
116,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,24680
117,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,73205
118,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,10939
119,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,84752
120,TR,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,62700
121,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,42
122,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,101
123,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,2025
124,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,6789
125,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,13579
126,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,24680
127,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,73205
128,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,10939
129,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,84752
130,TR,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,62700
131,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,42
132,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,101
133,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,2025
134,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,6789
135,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,13579
136,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,24680
137,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,73205
138,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,10939
139,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,84752
140,TR,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,62700
141,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,42
142,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,101
143,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,2025
144,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,6789
145,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,13579
146,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,24680
147,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,73205
148,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,10939
149,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,84752
150,CTRL,Scenario2,75,75,150,High,0.1,both,1,1,PTEN_null,-,62700
151,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,42
152,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,101
153,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,2025
154,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,6789
155,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,13579
156,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,24680
157,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,73205
158,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,10939
159,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,84752
160,CTRL,Scenario2,75,75,150,High,0.5,both,1,1,PTEN_null,-,62700
161,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,42
162,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,101
163,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,2025
164,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,6789
165,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,13579
166,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,24680
167,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,73205
168,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,10939
169,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,84752
170,CTRL,Scenario2,75,75,150,High,1,both,1,1,PTEN_null,-,62700
171,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,42
172,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,101
173,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,2025
174,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,6789
175,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,13579
176,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,24680
177,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,73205
178,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,10939
179,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,84752
180,CTRL,Scenario2,75,75,150,High,4,both,1,1,PTEN_null,-,62700
181,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,42
182,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,101
183,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,2025
184,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,6789
185,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,13579
186,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,24680
187,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,73205
188,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,10939
189,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,84752
190,CTRL,Scenario2,75,75,150,High,7,both,1,1,PTEN_null,-,62700
191,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,42
192,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,101
193,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,2025
194,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,6789
195,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,13579
196,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,24680
197,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,73205
198,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,10939
199,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,84752
200,CTRL,Scenario2,75,75,150,High,10,both,1,1,PTEN_null,-,62700
201,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,42
202,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,101
203,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,2025
204,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,6789
205,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,13579
206,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,24680
207,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,73205
208,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,10939
209,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,84752
210,CTRL,Scenario2,75,75,150,High,100,both,1,1,PTEN_null,-,62700
211,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,42
212,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,101
213,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,2025
214,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,6789
215,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,13579
216,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,24680
217,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,73205
218,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,10939
219,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,84752
220,BR,Scenario2,75,75,150,High,0.1,both,0.1,2,PTEN_null,-,62700
221,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,42
222,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,101
223,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,2025
224,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,6789
225,BR,Scenario2,75,75,150,High,0.1,both,0.5,1.6,PTEN_null,-,13579
